timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595801227547,76,create new client,200,OK,Thread Group 1-2,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,67,0,47
1595801227676,14,create new client,200,OK,Thread Group 1-11,text,true,,162,211,11,11,http://18.224.138.242/client/new/100,14,0,7
1595801227546,77,create new client,200,OK,Thread Group 1-1,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,70,0,48
1595801227553,72,create new client,200,OK,Thread Group 1-7,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,72,0,41
1595801227612,11,create new client,200,OK,Thread Group 1-9,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,11,0,2
1595801227547,78,create new client,200,OK,Thread Group 1-4,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,78,0,49
1595801227582,41,create new client,200,OK,Thread Group 1-8,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,41,0,11
1595801227547,76,create new client,200,OK,Thread Group 1-6,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,67,0,47
1595801227547,76,create new client,200,OK,Thread Group 1-5,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,70,0,46
1595801227547,71,create new client,200,OK,Thread Group 1-3,text,true,,162,211,9,9,http://18.224.138.242/client/new/100,70,0,47
1595801227644,51,create new client,200,OK,Thread Group 1-10,text,true,,162,211,11,11,http://18.224.138.242/client/new/100,51,0,2
1595801227704,4,create new transaction,200,OK,Thread Group 1-8,text,true,,177,294,12,12,http://18.224.138.242/transaction,4,0,0
1595801227704,5,create new transaction,200,OK,Thread Group 1-3,text,true,,177,294,12,12,http://18.224.138.242/transaction,5,0,0
1595801227700,10,create new transaction,200,OK,Thread Group 1-4,text,true,,177,294,12,12,http://18.224.138.242/transaction,9,0,0
1595801227700,11,create new transaction,200,OK,Thread Group 1-6,text,true,,177,294,12,12,http://18.224.138.242/transaction,11,0,0
1595801227705,27,create new transaction,200,OK,Thread Group 1-7,text,true,,177,294,12,12,http://18.224.138.242/transaction,27,0,0
1595801227701,44,create new transaction,200,OK,Thread Group 1-10,text,true,,177,294,13,13,http://18.224.138.242/transaction,44,0,0
1595801227700,45,create new transaction,200,OK,Thread Group 1-2,text,true,,177,294,13,13,http://18.224.138.242/transaction,45,0,0
1595801227705,42,create new transaction,200,OK,Thread Group 1-1,text,true,,177,294,13,13,http://18.224.138.242/transaction,42,0,0
1595801227701,50,create new transaction,200,OK,Thread Group 1-5,text,true,,177,294,13,13,http://18.224.138.242/transaction,50,0,0
1595801227700,54,create new transaction,200,OK,Thread Group 1-11,text,true,,177,294,13,13,http://18.224.138.242/transaction,54,0,0
1595801227700,54,create new transaction,200,OK,Thread Group 1-9,text,true,,177,294,13,13,http://18.224.138.242/transaction,54,0,0
1595801227707,72,create new client,200,OK,Thread Group 1-12,text,true,,162,211,14,14,http://18.224.138.242/client/new/100,72,0,3
1595801227780,7,create new transaction,200,OK,Thread Group 1-12,text,true,,177,294,14,14,http://18.224.138.242/transaction,7,0,0
1595801227709,79,get balance,200,OK,Thread Group 1-8,text,true,,136,193,14,14,http://18.224.138.242/client/1/balance,79,0,0
1595801227710,85,get balance,200,OK,Thread Group 1-4,text,true,,136,193,14,14,http://18.224.138.242/client/1/balance,85,0,0
1595801227736,65,create new client,200,OK,Thread Group 1-13,text,true,,162,211,13,13,http://18.224.138.242/client/new/100,65,0,1
1595801227802,4,create new transaction,200,OK,Thread Group 1-13,text,true,,177,294,13,13,http://18.224.138.242/transaction,4,0,0
1595801227733,79,get balance,200,OK,Thread Group 1-7,text,true,,136,193,13,13,http://18.224.138.242/client/1/balance,79,0,0
1595801227768,45,create new client,200,OK,Thread Group 1-14,text,true,,162,211,12,12,http://18.224.138.242/client/new/100,45,0,2
1595801227795,19,create new client,200,OK,Thread Group 1-15,text,true,,162,211,12,12,http://18.224.138.242/client/new/100,19,0,3
1595801227745,76,get balance,200,OK,Thread Group 1-2,text,true,,136,193,12,12,http://18.224.138.242/client/1/balance,76,0,0
1595801227814,13,create new transaction,200,OK,Thread Group 1-15,text,true,,177,294,12,12,http://18.224.138.242/transaction,13,0,0
