timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595802626766,93,create new client,200,,Thread Group 1-1,text,true,,183,207,5,5,http://3.17.24.20/client/new/100,93,0,64
1595802626848,11,create new client,200,,Thread Group 1-5,text,true,,183,207,5,5,http://3.17.24.20/client/new/100,11,0,1
1595802626767,92,create new client,200,,Thread Group 1-3,text,true,,183,207,5,5,http://3.17.24.20/client/new/100,92,0,60
1595802626799,59,create new client,200,,Thread Group 1-4,text,true,,183,207,5,5,http://3.17.24.20/client/new/100,56,0,31
1595802626766,93,create new client,200,,Thread Group 1-2,text,true,,183,207,5,5,http://3.17.24.20/client/new/100,93,0,65
1595802626905,5,create new client,200,,Thread Group 1-6,text,true,,183,207,6,6,http://3.17.24.20/client/new/100,5,0,1
1595802626908,13,create new transaction,200,,Thread Group 1-2,text,true,,198,290,6,6,http://3.17.24.20/transaction,12,0,0
1595802626908,13,create new transaction,200,,Thread Group 1-3,text,true,,198,290,6,6,http://3.17.24.20/transaction,13,0,0
1595802626907,16,create new transaction,200,,Thread Group 1-1,text,true,,198,290,6,6,http://3.17.24.20/transaction,16,0,0
1595802626908,16,create new transaction,200,,Thread Group 1-5,text,true,,198,290,6,6,http://3.17.24.20/transaction,16,0,0
1595802626918,7,create new transaction,200,,Thread Group 1-6,text,true,,198,290,6,6,http://3.17.24.20/transaction,7,0,0
1595802626918,10,create new transaction,200,,Thread Group 1-4,text,true,,198,290,6,6,http://3.17.24.20/transaction,9,0,0
1595802626921,22,get balance,200,,Thread Group 1-2,text,true,,157,189,6,6,http://3.17.24.20/client/1/balance,22,0,0
1595802626922,23,get balance,200,,Thread Group 1-3,text,true,,157,189,5,5,http://3.17.24.20/client/1/balance,23,0,0
1595802626924,38,get balance,200,,Thread Group 1-5,text,true,,157,189,4,4,http://3.17.24.20/client/1/balance,38,0,0
1595802626924,41,get balance,200,,Thread Group 1-1,text,true,,157,189,3,3,http://3.17.24.20/client/1/balance,41,0,0
1595802626926,56,get balance,200,,Thread Group 1-6,text,true,,157,189,3,3,http://3.17.24.20/client/1/balance,56,0,0
1595802626928,55,get balance,200,,Thread Group 1-4,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,55,0,0
1595802626968,17,create new client,200,,Thread Group 1-7,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,17,0,1
1595802626986,3,create new transaction,200,,Thread Group 1-7,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802626989,12,get balance,200,,Thread Group 1-7,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627021,8,create new client,200,,Thread Group 1-8,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,8,0,3
1595802627030,2,create new transaction,200,,Thread Group 1-8,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802627033,15,get balance,200,,Thread Group 1-8,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,15,0,0
1595802627085,5,create new client,200,,Thread Group 1-9,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802627091,3,create new transaction,200,,Thread Group 1-9,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802627094,12,get balance,200,,Thread Group 1-9,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627192,6,create new client,200,,Thread Group 1-10,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,1
1595802627199,2,create new transaction,200,,Thread Group 1-10,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802627202,12,get balance,200,,Thread Group 1-10,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627216,4,create new client,200,,Thread Group 1-11,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,4,0,1
1595802627221,4,create new transaction,200,,Thread Group 1-11,text,true,,198,290,1,1,http://3.17.24.20/transaction,4,0,0
1595802627225,12,get balance,200,,Thread Group 1-11,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627273,8,create new client,200,,Thread Group 1-12,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,7,0,1
1595802627281,3,create new transaction,200,,Thread Group 1-12,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802627284,12,get balance,200,,Thread Group 1-12,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627327,5,create new client,200,,Thread Group 1-13,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802627333,2,create new transaction,200,,Thread Group 1-13,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802627336,12,get balance,200,,Thread Group 1-13,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627390,5,create new client,200,,Thread Group 1-14,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802627396,3,create new transaction,200,,Thread Group 1-14,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802627399,12,get balance,200,,Thread Group 1-14,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627453,9,create new client,200,,Thread Group 1-15,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802627463,2,create new transaction,200,,Thread Group 1-15,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802627466,12,get balance,200,,Thread Group 1-15,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627554,6,create new client,200,,Thread Group 1-16,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,1
1595802627560,3,create new transaction,200,,Thread Group 1-16,text,true,,198,290,2,2,http://3.17.24.20/transaction,3,0,0
1595802627562,10,create new client,200,,Thread Group 1-17,text,true,,183,207,2,2,http://3.17.24.20/client/new/100,10,0,1
1595802627572,3,create new transaction,200,,Thread Group 1-17,text,true,,198,290,2,2,http://3.17.24.20/transaction,3,0,0
1595802627563,13,get balance,200,,Thread Group 1-16,text,true,,157,189,2,2,http://3.17.24.20/client/1/balance,13,0,0
1595802627575,12,get balance,200,,Thread Group 1-17,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627622,6,create new client,200,,Thread Group 1-18,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,1
1595802627628,3,create new transaction,200,,Thread Group 1-18,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802627632,12,get balance,200,,Thread Group 1-18,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627682,6,create new client,200,,Thread Group 1-19,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802627688,5,create new transaction,200,,Thread Group 1-19,text,true,,198,290,1,1,http://3.17.24.20/transaction,5,0,0
1595802627693,14,get balance,200,,Thread Group 1-19,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,14,0,0
1595802627742,5,create new client,200,,Thread Group 1-20,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802627748,2,create new transaction,200,,Thread Group 1-20,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802627751,12,get balance,200,,Thread Group 1-20,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627804,6,create new client,200,,Thread Group 1-21,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,1
1595802627810,3,create new transaction,200,,Thread Group 1-21,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802627813,12,get balance,200,,Thread Group 1-21,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627862,6,create new client,200,,Thread Group 1-22,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,1
1595802627869,3,create new transaction,200,,Thread Group 1-22,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802627872,12,get balance,200,,Thread Group 1-22,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627924,5,create new client,200,,Thread Group 1-23,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802627930,2,create new transaction,200,,Thread Group 1-23,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802627933,12,get balance,200,,Thread Group 1-23,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802627984,8,create new client,200,,Thread Group 1-24,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,8,0,4
1595802627992,3,create new transaction,200,,Thread Group 1-24,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802627995,12,get balance,200,,Thread Group 1-24,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802628042,6,create new client,200,,Thread Group 1-25,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,1
1595802628048,3,create new transaction,200,,Thread Group 1-25,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802628051,12,get balance,200,,Thread Group 1-25,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802628105,5,create new client,200,,Thread Group 1-26,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802628110,3,create new transaction,200,,Thread Group 1-26,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802628114,12,get balance,200,,Thread Group 1-26,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802628163,6,create new client,200,,Thread Group 1-27,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,6,0,2
1595802628170,5,create new transaction,200,,Thread Group 1-27,text,true,,198,290,1,1,http://3.17.24.20/transaction,5,0,0
1595802628175,13,get balance,200,,Thread Group 1-27,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,13,0,0
1595802628223,5,create new client,200,,Thread Group 1-28,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802628229,6,create new transaction,200,,Thread Group 1-28,text,true,,198,290,1,1,http://3.17.24.20/transaction,6,0,0
1595802628235,12,get balance,200,,Thread Group 1-28,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802628282,5,create new client,200,,Thread Group 1-29,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802628288,2,create new transaction,200,,Thread Group 1-29,text,true,,198,290,1,1,http://3.17.24.20/transaction,2,0,0
1595802628290,12,get balance,200,,Thread Group 1-29,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
1595802628344,5,create new client,200,,Thread Group 1-30,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802628349,3,create new transaction,200,,Thread Group 1-30,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802628352,13,get balance,200,,Thread Group 1-30,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,13,0,0
1595802628405,6,create new client,200,,Thread Group 1-31,text,true,,183,207,1,1,http://3.17.24.20/client/new/100,5,0,1
1595802628411,3,create new transaction,200,,Thread Group 1-31,text,true,,198,290,1,1,http://3.17.24.20/transaction,3,0,0
1595802628414,12,get balance,200,,Thread Group 1-31,text,true,,157,189,1,1,http://3.17.24.20/client/1/balance,12,0,0
