timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595803158844,7,create new client,200,,Thread Group 1-50,text,true,,183,207,50,50,http://3.17.24.20/client/new/100,7,0,2
1595803158687,104,create new client,200,,Thread Group 1-3,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,101,0,84
1595803158807,22,create new client,200,,Thread Group 1-46,text,true,,183,207,48,48,http://3.17.24.20/client/new/100,22,0,1
1595803158688,113,create new client,200,,Thread Group 1-28,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,113,0,85
1595803158692,99,create new client,200,,Thread Group 1-27,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,99,0,79
1595803158688,111,create new client,200,,Thread Group 1-10,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,111,0,83
1595803158712,85,create new client,200,,Thread Group 1-35,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,75,0,53
1595803158834,4,create new client,200,,Thread Group 1-49,text,true,,183,207,49,49,http://3.17.24.20/client/new/100,4,0,1
1595803158688,141,create new client,200,,Thread Group 1-4,text,true,,183,207,48,48,http://3.17.24.20/client/new/100,141,0,78
1595803158718,74,create new client,200,,Thread Group 1-36,text,true,,183,207,43,43,http://3.17.24.20/client/new/100,74,0,53
1595803158745,46,create new client,200,,Thread Group 1-39,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,43,0,21
1595803158687,111,create new client,200,,Thread Group 1-17,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,111,0,84
1595803158773,29,create new client,200,,Thread Group 1-42,text,true,,183,207,45,45,http://3.17.24.20/client/new/100,28,0,1
1595803158687,138,create new client,200,,Thread Group 1-21,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,138,0,83
1595803158764,28,create new client,200,,Thread Group 1-41,text,true,,183,207,43,43,http://3.17.24.20/client/new/100,28,0,2
1595803158687,140,create new client,200,,Thread Group 1-24,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,140,0,83
1595803158745,45,create new client,200,,Thread Group 1-37,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,43,0,21
1595803158684,108,create new client,200,,Thread Group 1-26,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,108,0,78
1595803158688,134,create new client,200,,Thread Group 1-9,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,134,0,83
1595803158687,105,create new client,200,,Thread Group 1-14,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,105,0,82
1595803158687,104,create new client,200,,Thread Group 1-25,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,101,0,78
1595803158687,108,create new client,200,,Thread Group 1-15,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,108,0,81
1595803158687,133,create new client,200,,Thread Group 1-7,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,133,0,84
1595803158688,142,create new client,200,,Thread Group 1-1,text,true,,183,207,48,48,http://3.17.24.20/client/new/100,142,0,78
1595803158782,24,create new client,200,,Thread Group 1-43,text,true,,183,207,45,45,http://3.17.24.20/client/new/100,24,0,1
1595803158687,119,create new client,200,,Thread Group 1-13,text,true,,183,207,45,45,http://3.17.24.20/client/new/100,119,0,78
1595803158688,107,create new client,200,,Thread Group 1-11,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,107,0,80
1595803158687,117,create new client,200,,Thread Group 1-18,text,true,,183,207,45,45,http://3.17.24.20/client/new/100,117,0,79
1595803158687,116,create new client,200,,Thread Group 1-5,text,true,,183,207,45,45,http://3.17.24.20/client/new/100,116,0,79
1595803158688,109,create new client,200,,Thread Group 1-22,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,109,0,80
1595803158687,104,create new client,200,,Thread Group 1-29,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,104,0,84
1595803158691,101,create new client,200,,Thread Group 1-33,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,97,0,74
1595803158687,105,create new client,200,,Thread Group 1-32,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,100,0,79
1595803158687,104,create new client,200,,Thread Group 1-31,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,100,0,84
1595803158687,121,create new client,200,,Thread Group 1-23,text,true,,183,207,46,46,http://3.17.24.20/client/new/100,121,0,83
1595803158853,5,create new client,200,,Thread Group 1-51,text,true,,183,207,51,51,http://3.17.24.20/client/new/100,5,0,1
1595803158687,123,create new client,200,,Thread Group 1-2,text,true,,183,207,46,46,http://3.17.24.20/client/new/100,123,0,84
1595803158687,126,create new client,200,,Thread Group 1-8,text,true,,183,207,46,46,http://3.17.24.20/client/new/100,126,0,81
1595803158794,19,create new client,200,,Thread Group 1-44,text,true,,183,207,46,46,http://3.17.24.20/client/new/100,19,0,1
1595803158687,128,create new client,200,,Thread Group 1-12,text,true,,183,207,46,46,http://3.17.24.20/client/new/100,128,0,78
1595803158828,4,create new client,200,,Thread Group 1-48,text,true,,183,207,48,48,http://3.17.24.20/client/new/100,4,0,1
1595803158687,129,create new client,200,,Thread Group 1-16,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,129,0,78
1595803158816,16,create new client,200,,Thread Group 1-47,text,true,,183,207,48,48,http://3.17.24.20/client/new/100,16,0,1
1595803158802,15,create new client,200,,Thread Group 1-45,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,15,0,1
1595803158687,137,create new client,200,,Thread Group 1-19,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,137,0,84
1595803158879,14,create new transaction,200,,Thread Group 1-32,text,true,,198,290,54,54,http://3.17.24.20/transaction,14,0,0
1595803158891,3,create new transaction,200,,Thread Group 1-48,text,true,,198,290,54,54,http://3.17.24.20/transaction,3,0,0
1595803158889,5,create new transaction,200,,Thread Group 1-51,text,true,,198,290,55,55,http://3.17.24.20/transaction,5,0,0
1595803158687,136,create new client,200,,Thread Group 1-20,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,136,0,87
1595803158890,5,create new transaction,200,,Thread Group 1-2,text,true,,198,290,55,55,http://3.17.24.20/transaction,5,0,0
1595803158888,7,create new transaction,200,,Thread Group 1-23,text,true,,198,290,55,55,http://3.17.24.20/transaction,7,0,0
1595803158878,18,create new transaction,200,,Thread Group 1-33,text,true,,198,290,55,55,http://3.17.24.20/transaction,18,0,0
1595803158753,55,create new client,200,,Thread Group 1-40,text,true,,183,207,46,46,http://3.17.24.20/client/new/100,55,0,15
1595803158688,108,create new client,200,,Thread Group 1-6,text,true,,183,207,44,44,http://3.17.24.20/client/new/100,108,0,83
1595803158871,30,create new client,200,,Thread Group 1-53,text,true,,183,207,56,56,http://3.17.24.20/client/new/100,30,0,25
1595803158877,25,create new transaction,200,,Thread Group 1-11,text,true,,198,290,56,56,http://3.17.24.20/transaction,25,0,0
1595803158896,7,create new transaction,200,,Thread Group 1-18,text,true,,198,290,56,56,http://3.17.24.20/transaction,7,0,0
1595803158897,8,create new transaction,200,,Thread Group 1-40,text,true,,198,290,56,56,http://3.17.24.20/transaction,8,0,0
1595803158898,8,create new transaction,200,,Thread Group 1-1,text,true,,198,290,56,56,http://3.17.24.20/transaction,8,0,0
1595803158876,31,create new transaction,200,,Thread Group 1-13,text,true,,198,290,57,57,http://3.17.24.20/transaction,31,0,0
1595803158876,32,create new transaction,200,,Thread Group 1-43,text,true,,198,290,57,57,http://3.17.24.20/transaction,32,0,0
1595803158711,107,create new client,200,,Thread Group 1-34,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,107,0,56
1595803158898,13,create new transaction,200,,Thread Group 1-6,text,true,,198,290,57,57,http://3.17.24.20/transaction,13,0,0
1595803158876,36,create new transaction,200,,Thread Group 1-7,text,true,,198,290,57,57,http://3.17.24.20/transaction,36,0,0
1595803158735,76,create new client,200,,Thread Group 1-38,text,true,,183,207,46,46,http://3.17.24.20/client/new/100,76,0,36
1595803158687,133,create new client,200,,Thread Group 1-30,text,true,,183,207,47,47,http://3.17.24.20/client/new/100,133,0,81
1595803158864,52,create new client,200,,Thread Group 1-52,text,true,,183,207,58,58,http://3.17.24.20/client/new/100,52,0,1
1595803158893,30,get balance,200,,Thread Group 1-32,text,true,,157,189,58,58,http://3.17.24.20/client/1/balance,30,0,0
1595803158877,47,create new transaction,200,,Thread Group 1-5,text,true,,198,290,58,58,http://3.17.24.20/transaction,47,0,0
1595803158876,52,create new transaction,200,,Thread Group 1-15,text,true,,198,290,58,58,http://3.17.24.20/transaction,52,0,0
1595803158875,54,create new transaction,200,,Thread Group 1-25,text,true,,198,290,58,58,http://3.17.24.20/transaction,54,0,0
1595803158877,53,create new transaction,200,,Thread Group 1-22,text,true,,198,290,58,58,http://3.17.24.20/transaction,53,0,0
1595803158897,35,create new client,200,,Thread Group 1-56,text,true,,183,207,58,58,http://3.17.24.20/client/new/100,35,0,2
1595803158896,37,get balance,200,,Thread Group 1-33,text,true,,157,189,58,58,http://3.17.24.20/client/1/balance,37,0,0
